id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;vendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;URL
1538593808;TERRENO;25000;2023-10-17;INMOBILIARIA;250.0;;;;;;CORDOBA;-31.4840119;-64.2644422;https://terreno.mercadolibre.com.ar/MLA-1538593808-lote-en-venta-cuestas-de-manantiales-250-m2-_JM
1538657548;TERRENO;160000;2023-10-17;INMOBILIARIA;400.0;;;;;GUEMES;CORDOBA;-31.9527702;-65.1752396;https://terreno.mercadolibre.com.ar/MLA-1538657548-terreno-en-venta-cordoba-capital-_JM
1538641074;CASA;770000;2023-10-17;INMOBILIARIA;1160.0;470.0;4.0;4.0;2.0;;CORDOBA;-31.3805358;-64.2463492;https://casa.mercadolibre.com.ar/MLA-1538641074-country-barrancas-casa-de-categ-4dorm-rec-menor-_JM
1538576024;DEPARTAMENTO;57000;2023-10-17;INMOBILIARIA;46.0;46.0;1.0;1.0;1.0;GENERAL PAZ;CORDOBA;-31.4118737;-64.1638462;https://departamento.mercadolibre.com.ar/MLA-1538576024-1-dorm-opcochera-amenities-b-gral-paz-_JM
1538632760;TERRENO;9630;2023-10-17;INMOBILIARIA;1718.0;;;;;EL PARADOR DE LA MONTANA;SANTA ROSA DE CALAMUCHITA;;;https://terreno.mercadolibre.com.ar/MLA-1538632760-lote-en-cordoba-a-10min-calamuchita-_JM
1538658710;TERRENO;7990;2023-10-17;INMOBILIARIA;1389.0;;;;;EL PARADOR DE LA MONTANA;SANTA ROSA DE CALAMUCHITA;;;https://terreno.mercadolibre.com.ar/MLA-1538658710-lote-en-cordoba-a-10min-calamuchita-_JM
1538678548;CASA;390000;2023-10-17;INMOBILIARIA;298.0;298.0;3.0;4.0;1.0;LA RUFINA;CORDOBA;-31.3452074;-64.3153811;https://casa.mercadolibre.com.ar/MLA-1538678548-country-la-rufina-casa-3-dormitorios-la-calera-_JM
1392645861;CASA;43000;2023-10-17;INMOBILIARIA;512.0;190.0;5.0;2.0;1.0;;LA FALDA;-31.0897816;-64.4961773;https://casa.mercadolibre.com.ar/MLA-1392645861-dos-casas-5-dormitorios-la-falda-cordoba-_JM
1538641070;CASA;370000;2023-10-17;INMOBILIARIA;605.0;;3.0;2.0;4.0;LA MORADA;VILLA ALLENDE;-31.301321;-64.263626;https://casa.mercadolibre.com.ar/MLA-1538641070-country-la-morada-a-estrenar-cpileta-rec-menor-_JM
1392555167;CASA;105000;2023-10-17;INMOBILIARIA;360.0;120.0;3.0;2.0;1.0;DOCTA URBANIZACION;CORDOBA;-31.4617641;-64.3039511;https://casa.mercadolibre.com.ar/MLA-1392555167-duplex-en-docta-boulevard-_JM
1538628000;CASA;175000;2023-10-17;INMOBILIARIA;195.0;175.0;3.0;2.0;2.0;;CORDOBA;-31.4647198;-64.1965677;https://casa.mercadolibre.com.ar/MLA-1538628000-categoria-3-dorm-c-pileta-chacras-del-sur-financio-_JM
1538589076;DEPARTAMENTO;229000;2023-10-17;INMOBILIARIA;151.0;121.0;2.0;2.0;1.0;VILLA BELGRANO;CORDOBA;-31.3576184;-64.251377;https://departamento.mercadolibre.com.ar/MLA-1538589076-departamento-villa-belgrano-_JM
1538628004;CASA;170000;2023-10-17;INMOBILIARIA;1060.0;240.0;3.0;2.0;2.0;;VILLA ALLENDE;-31.2827007;-64.3079672;https://casa.mercadolibre.com.ar/MLA-1538628004-cumbres-del-golf-villa-allende-t1100m2-posesion-inmediata-_JM
1538680012;CASA;299000;2023-10-17;INMOBILIARIA;1500.0;390.0;3.0;3.0;2.0;;CORDOBA;-31.4879124;-64.1639172;https://casa.mercadolibre.com.ar/MLA-1538680012-barrio-cerrado-zona-sur-una-planta-pileta-galpon-_JM
1538680022;DEPARTAMENTO;320000;2023-10-17;INMOBILIARIA;205.0;178.0;3.0;2.0;2.0;;CORDOBA;-31.3808878;-64.2243106;https://departamento.mercadolibre.com.ar/MLA-1538680022-casonas-del-cerro-3-dorm-c2-cocheras-oport-_JM
1538589080;DEPARTAMENTO;89000;2023-10-17;INMOBILIARIA;65.0;65.0;2.0;1.0;;COFICO;CORDOBA;-31.396708;-64.1903592;https://departamento.mercadolibre.com.ar/MLA-1538589080-2-dorm-c-amenities-financio-b-cofico-_JM
1538576018;DEPARTAMENTO;59000;2023-10-17;INMOBILIARIA;55.0;45.0;1.0;1.0;;COFICO;CORDOBA;-31.396708;-64.1903592;https://departamento.mercadolibre.com.ar/MLA-1538576018-oport-a-estrenar-1-dorm-amenities-financio-_JM
1538641068;DEPARTAMENTO;79000;2023-10-17;INMOBILIARIA;65.0;65.0;2.0;1.0;;GENERAL PAZ;CORDOBA;-31.4125091;-64.1661457;https://departamento.mercadolibre.com.ar/MLA-1538641068-oport-2-dorm-b-gral-paz-rec-menor-_JM
1538562944;CASA;125000;2023-10-17;INMOBILIARIA;250.0;110.0;2.0;2.0;2.0;;LA CALERA;-31.3659867;-64.3472242;https://casa.mercadolibre.com.ar/MLA-1538562944-terrazas-de-la-estanzuela-duplex-de-categoria-con-vista--_JM
1538641084;DEPARTAMENTO;42000;2023-10-17;INMOBILIARIA;45.0;45.0;1.0;1.0;;COFICO;CORDOBA;-31.4005217;-64.1780671;https://departamento.mercadolibre.com.ar/MLA-1538641084-oportunidad-1-dorm-a-estrenar-b-cofico-_JM
1538628008;TERRENO;52500;2023-10-17;INMOBILIARIA;360.0;;;;;;CORDOBA;-31.4570152;-64.2381063;https://terreno.mercadolibre.com.ar/MLA-1538628008-terrazas-de-manantiales-lote-de-360m2-_JM
1538576008;DEPARTAMENTO;39000;2023-10-17;INMOBILIARIA;40.0;40.0;1.0;1.0;;ALTO ALBERDI;CORDOBA;-31.4069676;-64.2239368;https://departamento.mercadolibre.com.ar/MLA-1538576008-oportunidad-alto-alberdi-fte-shop-nvo-ctro-_JM
1392576107;CASA;320000;2023-10-17;INMOBILIARIA;830.0;325.0;4.0;3.0;3.0;VALLE ESCONDIDO;CORDOBA;-31.3730638;-64.2780283;https://casa.mercadolibre.com.ar/MLA-1392576107-valle-escondido-4-dormitorios-quincho-impecable-_JM
1538654028;CASA;115000;2023-10-17;INMOBILIARIA;125.0;120.0;2.0;1.0;1.0;NUEVO URCA;CORDOBA;-31.3839753;-64.2678731;https://casa.mercadolibre.com.ar/MLA-1538654028-nuevo-urca-2dor-calef-ctral-pileta-a-estrenar--_JM
1538576026;CASA;85000;2023-10-17;INMOBILIARIA;105.0;85.0;2.0;2.0;1.0;ALTOS DE LA CALERA;LA CALERA;-31.3631774;-64.341159;https://casa.mercadolibre.com.ar/MLA-1538576026-housing-altos-2dor-2bns-cochera-posesion-inmed-_JM
1538562940;DEPARTAMENTO;119000;2023-10-17;INMOBILIARIA;110.0;110.0;3.0;2.0;1.0;COFICO;CORDOBA;-31.4031111;-64.1845217;https://departamento.mercadolibre.com.ar/MLA-1538562940-appto-bancor-cofico-semipiso-sucre-1400-cochera-_JM
1538680000;DEPARTAMENTO;115000;2023-10-17;INMOBILIARIA;85.0;85.0;2.0;2.0;;NUEVA CORDOBA;CORDOBA;-31.4297083;-64.188954;https://departamento.mercadolibre.com.ar/MLA-1538680000-semipiso-2-dorm-2-bns-85-m2-nva-cba-rec-menor-_JM
1538614954;CASA;185000;2023-10-17;INMOBILIARIA;200.0;160.0;3.0;2.0;2.0;;CORDOBA;-31.3521007;-64.2242106;https://casa.mercadolibre.com.ar/MLA-1538614954-3-dorm-a-estrenar-chacra-del-norte-categoria-_JM
