Tipo,Nombre,Telfono,Direccin,Barrio,Latitud,Longitud,Nombre anterior,Unidad Judicial,Telfono Unidad Judicial,geometry
Comisara,Comisara N 36,(0351)  4796535,Jos de Villegas 2100,Patricios,-31.36900997,-64.14380414,Comisara 8 BIS,-,(0351) 4335142 / 3,POINT (-64.14380414 -31.36900997)
Comisara,Comisara N 37,(0351) 4837911,Pedro Nan 1200,Juan Pablo II,-31.36356388,-64.15553398,Comisara 13 BIS Sgto. vila,-,-,POINT (-64.15553398 -31.36356388)
Comisara,Comisara N 38,(0351) 4995854,Av. Juan B. Justo Km.9653,Guiaz,-31.31079276,-64.17638553,Comisara 17 BIS,-,-,POINT (-64.17638553 -31.31079276)
Comisara,Comisara N 39,(03543) 449404,Andrs Pieiro 7785,Quintas de  Argello,-31.34371036,-64.26834813,Comisara 14 BIS,-,(03543) 446290,POINT (-64.26834813 -31.34371036)
Comisara,Comisara N 40,(0351) 4338129,Manuel Cardeosa 2800,La France,-31.36955648,-64.21163276,Comisara 15 BIS,-,(0351) 4338111,POINT (-64.21163276 -31.36955648)
Comisara,Comisara N 42,(0351) 4343112,Calle Pblica s/n  Mz.34,Villa Angelleli,-31.5048571,-64.19429965,Comisara Sgto. J. L. Morano,-,-,POINT (-64.19429965 -31.5048571)
Comisara,Comisara N 43,(0351) 4348748,Calle Pblica s/n  Mza. 52  L 1,Ciudad Evita,-31.44969357,-64.11039724,Comisara Of. Atye. Nuez,-,-,POINT (-64.11039724 -31.44969357)
Comisara,Comisara N 45,(0351)  4453533,Calle Pblica s/n,Ciudad de los Cuartetos,,,Subcomisara Cabo 1 Lopez,-,-,POINT EMPTY
Comisara,Comisara N 46,(03543) 448324,Juan Gaudino 6834,Argello Lourdes,-31.33068936,-64.25636854,Comisara Lourdes,-,-,POINT (-64.25636854 -31.33068936)
Comisara,Comisara N 47,(03543) 404600,Calle N 1 1254,Sol Naciente,-31.32067927,-64.24303482,Comisara 36 Sgto. Juan Pablo Dragonetti,-,-,POINT (-64.24303482 -31.32067927)
Subcomisara,Subcomisara N 1,(0351) 433797,Boyero 453,Chateau Carreras,-31.38622114,-64.25898341,Subcomisara Chateu Carreras,-,-,POINT (-64.25898341 -31.38622114)
Subcomisara,Subcomisara N 2,(0351) 4343335,Amsterdam s/n,Ciudad Pque. Las Rosas,-31.44759147,-64.24036974,Subcomisara Pque. Las Rosas,-,-,POINT (-64.24036974 -31.44759147)
Subcomisara,Subcomisara N 3,(0351) 4343626 / 27,Congreso esq. Cotolengo Don Orione,Ampliacin Cabildo,-31.48254378,-64.2274707,Subcomisara Ampl. Cabildo,-,-,POINT (-64.2274707 -31.48254378)
