id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;vendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;URL
2796770;DEPARTAMENTO;230000;2023-11-01;RUFAIL BIENES RAICES S.R.L;110.0;;2.0;2.0;1.0;NUEVA CORDOBA;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/departamentos/2796770/categoria-2-dorm-nva-cba-con-cochera.html
3608189;CASA;750000;2023-11-01;MOYANO TREBUCQ PROPIEDADES SRL;1558.0;654.0;4.0;4.0;3.0;EL BOSQUE;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/casas/3608189/casa-venta-country-bosque.html
2954581;TERRENO;200000;2023-11-01;DISTRITO INMOBILIARIO;50000.0;;;;;ITUZAINGO;CORDOBA;-31.472596;-64.047117;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/2954581/30-hectareas-sobre-autopista-cordoba-rosario.html
3447664;CASA;75000;2023-11-01;BRASCHI SERVICIOS INMOBILIARIOS;184.0;114.0;3.0;1.0;1.0;SAN MARTIN;CORDOBA;-31.402632;-64.191514;https://clasificados.lavoz.com.ar/avisos/casas/3447664/oportunidad-casa-tres-dormitorios-barrio-san-martin.html
3641699;CASA;595000;2023-11-01;MOYANO TREBUCQ PROPIEDADES SRL;1000.0;412.0;4.0;3.0;3.0;BARRANCAS DEL SUR;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/casas/3641699/casa-venta-country-barrancas-sur.html
1151547;TERRENO;330000;2023-11-01;TOMATIS INMOBILIARIA;9350.0;;;;;VILLA EL LIBERTADOR;CORDOBA;-31.470787;-64.2071;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/1151547/9300-metros-100-metros-av-velez-sarfield-300-circunvalacion.html
2473649;DEPARTAMENTO;135000;2023-11-01;DISTRITO INMOBILIARIO;70.0;;2.0;2.0;;GENERAL PAZ;CORDOBA;-31.415083;-64.166769;https://clasificados.lavoz.com.ar/avisos/departamentos/2473649/amplio-departamento-2-dormitorios-2-banos-con-patio-mejor-zona-barrio-g
5136708;DEPARTAMENTO;50000;2023-11-01;CARTESIANAS;40.0;;1.0;1.0;;GENERAL PAZ;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/departamentos/5136708/depto-1-dorm-24-de-septiembre-gral-paz
5133817;TERRENO;79900;2023-11-01;REMAX MEDITERRANEA;750.0;;;;;LAS CANITAS BARRIO PRIVADO;MALAGUENO;-31.492478;-64.437303;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/5133817/canitas-lote-en-barrio-privado-con-seguridad
5137590;DEPARTAMENTO;42000;2023-11-01;NUEVO CEIBO INMOBILIARIA;43.0;;2.0;1.0;;GENERAL PAZ;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/departamentos/5137590/general-paz-%E2%80%93-departamento-en-venta
5138758;TERRENO;37000;2023-11-01;CARTESIANAS;474.0;;;;;;DUMESNIL;;;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/5138758/lote-central-474-m2-maitenes-de-deseada
5131837;DEPARTAMENTO;103000;2023-11-01;NOVILLO Y ASOCIADOS - EMPRESA CONSTRUCTORA;60.0;;2.0;1.0;1.0;NUEVA CORDOBA;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/departamentos/5131837/depto-2-dormitorios-externo-nva-cba
5131494;CASA;113000;2023-11-01;SEBASIAN ALONSO BROKER INMOBILIARIO;180.0;145.0;3.0;2.0;;DOCTA URBANIZACION INTELIGENTE;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/casas/5131494/duplex-en-venta-docta
5138193;DEPARTAMENTO;44000;2023-11-01;DUE BIENES RAICES;36.0;;1.0;1.0;;COFICO;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/departamentos/5138193/cofico-1d-c-balcon-externo-escritura
5136364;DEPARTAMENTO;87000;2023-11-01;ARTUP TEAM;100.0;;2.0;2.0;1.0;ALTOS DE VILLA CABRERA;CORDOBA;-32.090719;-65.869629;https://clasificados.lavoz.com.ar/avisos/departamentos/5136364/vende-depto-2-dormitorios-altos-de-villa-cabrera
5136862;TERRENO;37500;2023-11-01;FISER SERVICIOS INMOBILIARIOS;300.0;;;;;;CORDOBA;-31.4666;-64.275887;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/5136862/oportunidad-brisas-de-manantiales-300mt-apto-duplex
3186773;CASA;100000;2023-11-01;BEGUE & ASOCIADOS;130.0;;3.0;2.0;;LA PAYA II;CORDOBA;-31.474171;-64.198311;https://clasificados.lavoz.com.ar/avisos/casas/3186773/paya-2-duplex-3-pisos-23-dorm-const-steel-framing.html
3520317;DEPARTAMENTO;70000;2023-11-01;GRUPO D INMUEBLES E INVERSIONES;90.0;;1.0;2.0;1.0;URCA;CORDOBA;-31.394766;-64.235167;https://clasificados.lavoz.com.ar/avisos/departamentos/3520317/terraforte-exclusivo-penthouse-piso-17-18.html
809684;TERRENO;400000;2023-11-01;TOMATIS INMOBILIARIA;800.0;;;;;CENTRO;CORDOBA;-31.410574;-64.185082;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/809684/micro-centro-rioja-al-200-800-m2-ideal-playa-estacionamiento.html
3389000;CASA;630000;2023-11-01;MOYANO TREBUCQ PROPIEDADES SRL;1705.0;521.0;4.0;4.0;2.0;LAS DELICIAS;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/casas/3389000/casa-venta-barrio-cerrado-delicias.html
3340430;CASA;250000;2023-11-01;MOYANO TREBUCQ PROPIEDADES SRL;800.0;200.0;3.0;3.0;2.0;TEJAS 3;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/casas/3340430/casa-venta-barrio-tejas-sur-3%C2%BA-etapa.html
3607597;CASA;480000;2023-11-01;MOYANO TREBUCQ PROPIEDADES SRL;1525.0;356.0;4.0;3.0;2.0;EL BOSQUE;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/casas/3607597/casa-venta-barrio-bosque.html
3507237;CASA;240000;2023-11-01;MOYANO TREBUCQ PROPIEDADES SRL;400.0;400.0;4.0;4.0;2.0;ALTA CORDOBA;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/casas/3507237/venta-excelente-casa-alta-cordoba.html
3645487;CASA;710000;2023-11-01;MOYANO TREBUCQ PROPIEDADES SRL;1000.0;350.0;3.0;3.0;2.0;JOCKEY CLUB;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/casas/3645487/importante-casa-venta-country-jockey-club.html
1119141;DEPARTAMENTO;145000;2023-11-01;DISTRITO INMOBILIARIO;135.0;;2.0;3.0;;CENTRO;CORDOBA;-31.410911;-64.191902;https://clasificados.lavoz.com.ar/avisos/departamentos/1119141/semipiso-categoria-av-colon-metros-canada.html
1334002;DEPARTAMENTO;48000;2023-11-01;GRUPO D INMUEBLES E INVERSIONES;50.0;;1.0;1.0;;COFICO;CORDOBA;-31.396041;-64.18886;https://clasificados.lavoz.com.ar/avisos/departamentos/1334002/cofico-dpto-amplio-1-dorm-amoblado-liv-com-amplio-balcon-3800.html
