tipoPropiedad,precioUSD,fechaUltimaActualizacion,terrenoTotal,terrenoEdificado,cantDormitorios,cantBanos,cantCochera,barrio,coordX,coordY,vendedor,comisariaCercana,transporteCercano,saludCercana,distanciaCentro,pm2,valComisaria,valTransporte,valSalud,valoracionServicios,geometry,barrioName
2,140000,2023-10-05,110.0,110.0,2.0,2.0,1.0,287,-31.455701,-64.237,0,0.956716845441643,0.09853012603356,1.087530463421431,6.048286346897667,1272.7272727272727,0,0,0,0,POINT (-64.237 -31.455701),TORRENTES DE MANANTIALES
1,105000,2023-11-15,128.0,128.0,3.0,2.0,1.0,190,-31.455939,-64.245867,2,1.0646507198149666,0.5465063034780017,0.7642353050529166,6.722590477359297,820.3125,0,0,0,0,POINT (-64.245867 -31.455939),MIRADORES DE MANANTIALES
1,128000,2023-10-30,140.0,80.0,2.0,2.0,2.0,74,-31.45373413104964,-64.23689913298107,1,0.7582341379925694,0.1535947363332367,0.9611154464435822,5.900088923872952,1600.0,0,0,0,0,POINT (-64.23689913298107 -31.45373413104964),COSTAS DE MANANTIALES
1,150000,2023-11-01,160.0,150.0,3.0,2.0,1.0,15,-31.46089389999999,-64.2347877,2,1.57107600932048,0.2139287548208174,0.7900381068016079,6.293669610864492,1000.0,0,0,0,0,POINT (-64.2347877 -31.46089389999999),ALTOS DE MANANTIALES
2,110000,2023-10-25,70.0,70.0,1.0,1.0,1.0,180,-31.4570152,-64.2381063,2,1.0696408607647914,0.0555273475852362,1.1235983722197094,6.223400120291006,1571.4285714285713,0,0,0,0,POINT (-64.2381063 -31.4570152),MANANTIALES
2,130000,2023-10-24,100.0,65.0,2.0,1.0,1.0,180,-31.45670956976307,-64.2371774,2,1.0581420288074213,0.1492959845729307,1.1549380935691718,6.134837756926979,2000.0,0,0,0,0,POINT (-64.2371774 -31.45670956976307),MANANTIALES
2,140000,2023-10-05,110.0,110.0,2.0,2.0,1.0,287,-31.4557012843072,-64.23700022,0,0.9567396701285994,0.0985388965779491,1.0875365256271503,6.048322813248191,1272.7272727272727,0,0,0,0,POINT (-64.23700022 -31.4557012843072),TORRENTES DE MANANTIALES
1,90000,2023-10-21,105.0,71.0,2.0,1.0,1.0,74,-31.4522439,-64.234819,2,0.7381562255195622,0.213446310413407,1.066767658671949,5.64244306053217,1267.605633802817,0,0,0,0,POINT (-64.234819 -31.4522439),COSTAS DE MANANTIALES
1,135000,2023-10-23,180.0,147.0,3.0,2.0,1.0,162,-31.453066,-64.243407,2,0.6734787180446586,0.4936810967106433,0.4835413560379289,6.34643619188959,918.3673469387755,0,0,0,0,POINT (-64.243407 -31.453066),LOMAS DE MANANTIALES
1,166900,2023-10-23,97.0,97.0,3.0,2.0,1.0,74,-31.4540498922,-64.238235046,2,0.7461466171766556,0.111522608078542,0.8787573164029521,6.020600371297841,1720.618556701031,0,0,0,0,POINT (-64.238235046 -31.4540498922),COSTAS DE MANANTIALES
1,115000,2023-10-30,127.0,140.0,3.0,3.0,1.0,190,-31.4535174,-64.2440552,2,0.7459313613309377,0.4650687065927407,0.5108866143665348,6.425621085370973,821.4285714285714,0,0,0,0,POINT (-64.2440552 -31.4535174),MIRADORES DE MANANTIALES
1,135000,2023-10-30,146.0,131.0,3.0,2.0,2.0,79,-31.45701599,-64.23810577,2,1.069737008586079,0.0555618601835794,1.123698489223362,6.223420251794048,1030.5343511450383,0,0,0,0,POINT (-64.23810577 -31.45701599),CUESTAS DE MANANTIALES
1,163000,2023-10-27,180.0,140.0,3.0,2.0,2.0,15,-31.4584129,-64.2378483,2,1.226828195071833,0.1659769775284055,1.150921759201097,6.30888684085294,1164.2857142857142,0,0,0,0,POINT (-64.2378483 -31.4584129),ALTOS DE MANANTIALES
1,125000,2023-10-31,125.0,140.0,3.0,2.0,2.0,190,-31.454598,-64.2446772,2,0.8797366444349641,0.5015101527280684,0.6182007584923866,6.543536921840273,892.8571428571429,0,0,0,0,POINT (-64.2446772 -31.454598),MIRADORES DE MANANTIALES
1,138000,2023-10-31,147.0,135.0,3.0,2.0,2.0,190,-31.4546681266,-64.244576218,2,0.8822761892217909,0.5136664291816517,0.6271171683053769,6.540355890915955,1022.2222222222222,0,0,0,0,POINT (-64.244576218 -31.4546681266),MIRADORES DE MANANTIALES
1,220000,2023-10-31,250.0,120.0,3.0,2.0,2.0,190,-31.45434138798383,-64.2437040529175,2,0.8144779029511422,0.5087586897883986,0.6080466398891811,6.452092935599805,1833.3333333333333,0,0,0,0,POINT (-64.2437040529175 -31.45434138798383),MIRADORES DE MANANTIALES
1,120000,2023-10-22,180.0,145.0,3.0,2.0,2.0,286,-31.45701519999999,-64.2381063,2,1.0696408607634056,0.0555273475854793,1.1235983722185978,6.223400120290074,827.5862068965517,0,0,0,0,POINT (-64.2381063 -31.45701519999999),TERRAZAS DE MANANTIALES
1,95000,2023-10-25,126.0,100.0,2.0,2.0,1.0,190,-31.4533506725652,-64.2419372808731,2,0.6574307043541524,0.4396170633364416,0.5796136352623469,6.251792009152235,950.0,0,0,0,0,POINT (-64.2419372808731 -31.4533506725652),MIRADORES DE MANANTIALES
1,120000,2023-10-25,126.0,110.0,3.0,2.0,1.0,188,-31.45346432953765,-64.24508170522043,1,0.7913513294855602,0.3844022430765293,0.489102974237795,6.501949556907095,1090.909090909091,0,0,0,0,POINT (-64.24508170522043 -31.45346432953765),MIRADOR
1,150000,2023-11-02,175.0,150.0,3.0,3.0,1.0,162,-31.45764242939626,-64.24397523103028,2,1.1687744275889276,0.3140758958781781,0.9625416317060972,6.695303380509579,1000.0,0,0,0,0,POINT (-64.24397523103028 -31.45764242939626),LOMAS DE MANANTIALES
