id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;tipoVendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;activo;URL
4435151;CASA;69000;1900-01-01;INMOBILIARIA;-1.0;-1.0;2.0;-1.0;-1.0;PUEYRREDON;CORDOBA;-31.393091;-64.147867;False;https://clasificados.lavoz.com.ar/avisos/casas/4435151/venta-casa-3-departamentos-en-barrio-pueyrredon
1027370;CASA;220000;1900-01-01;INMOBILIARIA;260.0;350.0;4.0;-1.0;3.0;ALTA CORDOBA;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/casas/1027370/se-vende-propiedad-alta-cordoba-cuadra-av-juan-b-justo-cordoba-propiedad-esquin
4894475;TERRENOS LOTES;73900;2022-11-04;;360.0;;;;;LA CALANDRIA;CORDOBA;-31.495281;-64.188667;False;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/4894475/lote-en-venta-en-barrio-cerrado-calandria
4895338;DUPLEX;135000;2022-11-06;;184.0;130.0;3.0;2.0;1.0;MIRADORES DE MANANTIALES;CORDOBA;-31.452475;-64.242714;False;https://clasificados.lavoz.com.ar/avisos/casas/4895338/duplex-con-pileta-y-3-dormitorios-en-venta-en-manantiales
3597899;DUPLEX;180000;2022-11-03;;160.0;160.0;3.0;3.0;;GREENVILLE 2;CORDOBA;-31.4844;-64.169487;False;https://clasificados.lavoz.com.ar/avisos/casas/3597899/greenville-2-duplex-estrenar-160-mts%C2%B2-cubiertos.html
4895174;DEPARTAMENTO;40999;2022-11-05;;;;2.0;1.0;;ALBERDI;CORDOBA;-31.408978;-64.190964;False;https://clasificados.lavoz.com.ar/avisos/departamentos/4895174/derpartamento-2-dormitorios-venta-alberdi
4893914;DEPARTAMENTO;129000;2022-11-03;;;;2.0;2.0;2.0;NUEVA CORDOBA;CORDOBA;-31.423521;-64.176728;False;https://clasificados.lavoz.com.ar/avisos/departamentos/4893914/2-dorm-torre-duomo-b%C2%B0-nueva-cordoba
4894190;CASA;320000;2022-11-04;;528.0;320.0;3.0;3.0;2.0;URCA;CORDOBA;;;False;https://clasificados.lavoz.com.ar/avisos/casas/4894190/categoria-2-plantas-320mtrs-cubiertos-urca
4893927;TERRENOS LOTES;3200;2022-11-03;;400.0;;;;;;LA CUMBRE;-30.975786;-64.508919;False;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/4893927/venta-terreno-de-400-m2-cumbre-x5178-cba
4624122;CASA;250000;2022-11-04;;750.0;350.0;3.0;4.0;;ARGUELLO;CORDOBA;-31.341716;-64.258071;False;https://clasificados.lavoz.com.ar/avisos/casas/4624122/venta-casa-tres-dormitorios-arguello-ramon-y-cajal-excelente
4171758;DEPARTAMENTO;140000;2022-11-04;;;;2.0;2.0;;VILLA BELGRANO;CORDOBA;-31.366843;-64.258421;False;https://clasificados.lavoz.com.ar/avisos/departamentos/4171758/venta-dpto-villa-belgrano-dos-dormitorios-dos-banos-housing-punta-belgr
4745818;CASA;980000;2022-11-04;;2271.0;562.0;4.0;3.0;;JOCKEY CLUB;CORDOBA;-31.416119;-64.227883;False;https://clasificados.lavoz.com.ar/avisos/casas/4745818/venta-casa-jockey-club
4895001;CASA;245000;2022-11-04;;760.0;126.0;3.0;3.0;2.0;LA CUESTA;LA CALERA;;;False;https://clasificados.lavoz.com.ar/avisos/casas/4895001/cuesta-3d-con-pileta-re-bajado
