id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;tipoVendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;activo;URL
52141063;DEPARTAMENTO;129000;2023-09-08;INMOBILIARIA;94.0;94.0;2.0;2.0;-1.0;GENERAL PAZ;CORDOBA;-31.4124857;-64.166592;False;https://www.zonaprop.com.ar/propiedades/departamento-2-dorm.-2-banos-c-escritura-b-general-52141063.html
52151381;DEPARTAMENTO;68000;2023-08-11;INMOBILIARIA;70.0;70.0;2.0;1.0;-1.0;GENERAL PAZ;CORDOBA;-31.4146159;-64.1692364;False;https://www.zonaprop.com.ar/propiedades/oportunidad-escucha-ofertas-1-1-2-dorm.-balcon-52151381.html
52141140;DEPARTAMENTO;86000;2023-09-08;INMOBILIARIA;73.0;73.0;2.0;1.0;-1.0;CENTRO;CORDOBA;-31.406375;-64.19115039999997;False;https://www.zonaprop.com.ar/propiedades/vendo-depto-de-2-dorm-a-estrenar-frente-a-capitalinas-52141140.html
52149743;DEPARTAMENTO;45000;2023-08-11;PARTICULAR;81.0;81.0;2.0;1.0;-1.0;URCA;CORDOBA;-31.3932511;-64.2163045;False;https://www.zonaprop.com.ar/propiedades/apto-credito-depto-2-dorm.-c-patio-y-asador-52149743.html
52151382;DEPARTAMENTO;57000;2023-08-11;INMOBILIARIA;55.0;55.0;1.0;1.0;-1.0;GENERAL PAZ;CORDOBA;-31.4146159;-64.1692364;False;https://www.zonaprop.com.ar/propiedades/a-estrenar-escucha-ofertas-1-dormitorio-balcon-52151382.html
52151376;DEPARTAMENTO;105000;2023-08-11;PARTICULAR;80.0;80.0;2.0;2.0;1.0;COFICO;CORDOBA;-31.401107;-64.180576;False;https://www.zonaprop.com.ar/propiedades/de-categoria-apto-credito-cochera-incluida-con-52151376.html
52151383;DEPARTAMENTO;32000;2023-08-11;INMOBILIARIA;47.0;47.0;1.0;1.0;-1.0;CENTRO;CORDOBA;-31.4177614;-64.1895734;False;https://www.zonaprop.com.ar/propiedades/ideal-inversor-escucha-propuestas-zona-tribunales-52151383.html
52149749;DEPARTAMENTO;45000;2023-08-11;PARTICULAR;81.0;81.0;2.0;1.0;-1.0;ESCOBAR;CORDOBA;-31.3932511;-64.2163045;False;https://www.zonaprop.com.ar/propiedades/apto-credito-depto-2-dorm.-c-patio-y-asador-52149749.html
52151372;DEPARTAMENTO;72000;2023-08-11;INMOBILIARIA;55.0;55.0;1.0;1.0;1.0;NUEVA CORDOBA;CORDOBA;-31.43028;-64.1915895;False;https://www.zonaprop.com.ar/propiedades/producto-exclusivo-posesion-2023-financiacion-52151372.html
52151388;DEPARTAMENTO;67500;2023-08-11;INMOBILIARIA;58.0;58.0;1.0;1.0;-1.0;GENERAL PAZ;CORDOBA;-31.4159828;-64.1660323;False;https://www.zonaprop.com.ar/propiedades/proximo-a-escriturar-posesion-inmediata-escucha-52151388.html
52136842;CASA;110000;2023-09-08;INMOBILIARIA;208.0;138.0;3.0;1.0;1.0;HEMOSA CASA EN LA CIUDAD DE SAN FRANCISCO, CORDOBA. 3 DORM.;SAN FRANCISCO;-31.436695;-62.0842308;False;https://www.zonaprop.com.ar/propiedades/hemosa-casa-en-la-ciudad-de-san-francisco-cordoba.-3-52136842.html
52151378;DEPARTAMENTO;79000;2023-08-11;INMOBILIARIA;120.0;120.0;1.0;1.0;-1.0;NUEVA CORDOBA;CORDOBA;-31.4308635;-64.1918612;False;https://www.zonaprop.com.ar/propiedades/opcional-cochera-con-escritura-alquilado-escucha-52151378.html
52140810;TERRENOS;57000;2023-09-08;INMOBILIARIA;1000.0;1000.0;-1.0;-1.0;-1.0;LA CERCANIA;MENDIOLAZA;-31.257823053248217;-64.25350041976108;False;https://www.zonaprop.com.ar/propiedades/lote-con-hermosa-vista-la-cercania-1000-m-sup2--52140810.html
52151362;DEPARTAMENTO;68000;2023-08-11;INMOBILIARIA;60.0;48.0;1.0;1.0;-1.0;GENERAL PAZ;CORDOBA;-31.41327095;-64.16362762;False;https://www.zonaprop.com.ar/propiedades/b-gral-paz-escritura-frente-orientac-norte-impecable-52151362.html
52143159;DEPARTAMENTO;62000;2023-09-08;INMOBILIARIA;65.0;60.0;2.0;1.0;-1.0;GENERAL PAZ;CORDOBA;-31.4125091;-64.1661457;False;https://www.zonaprop.com.ar/propiedades/departamento-en-venta-de-dos-dorm.-en-barrio-general-52143159.html
52149746;CASA;79500;2023-08-11;INMOBILIARIA;125.0;92.0;2.0;1.0;2.0;COLINAS DE MANANTIALES;CORDOBA;-31.4779856862484;-64.26141548273925;False;https://www.zonaprop.com.ar/propiedades/duplex-2-dorm.-colinas-de-manantiales-a-estrenar!-52149746.html
52142065;TERRENOS;39000;2023-09-08;INMOBILIARIA;800.0;-1.0;-1.0;-1.0;-1.0;VALLE DEL GOLF;MALAGUENO;-31.4787783;-64.42693609999999;False;https://www.zonaprop.com.ar/propiedades/lote-en-venta-valle-del-golf-800-m-sup2-52142065.html
