id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;vendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;URL
52379640;DEPARTAMENTO;75000;2023-09-21;INMOBILIARIA;45.0;45.0;2.0;1.0;;MAGNIFICO DEPTO 2 DORM EN COMPLEJO CON COCHERA! Bdeg LA CAROLINA;CORDOBA;-31.3477998;-64.2863766;https://www.zonaprop.com.ar/propiedades/magnifico-depto-2-dorm-en-complejo-con-cochera!-b-la-52379640.html
52374590;TERRENO;39800;2023-09-21;INMOBILIARIA;250.0;;;;;LOTES EN VENTA 200 /400 M2 LA CALERA CORDOBA;LA CALERA;-31.3548635;-64.3455292;https://www.zonaprop.com.ar/propiedades/lotes-en-venta-200-400-m-sup2--la-calera-cordoba-52374590.html
52377160;CASA;125000;2023-09-21;PARTICULAR;150.0;150.0;3.0;2.0;1.0;SAN MARTIN;CORDOBA;-31.4080027;-64.1806384;https://www.zonaprop.com.ar/propiedades/venta-casa-3-dorm.-lomas-de-san-martin-52377160.html
52379153;CASA;35000;2023-09-21;INMOBILIARIA;130.0;75.0;;1.0;;SAN VICENTE;CORDOBA;-31.4268479;-64.1496376;https://www.zonaprop.com.ar/propiedades/casa-2-dorm.-b-san-vicente-52379153.html
52384577;DEPARTAMENTO;95000;2023-09-21;INMOBILIARIA;200.0;140.0;3.0;3.0;2.0;PRADOS DE MANANTIALES;CORDOBA;-31.4750759;-64.2623383999999;https://www.zonaprop.com.ar/propiedades/vendo-duplex-a-estrenar-3-dorm.-barrio-prado-de-52384577.html
52374642;DEPARTAMENTO;63000;2023-09-21;INMOBILIARIA;66.0;56.0;1.0;1.0;;EN VENTA DPTO 1 DORMITORIO BALCON EN CALL ARTIGAS;CORDOBA;-31.4134951;-64.1948786;https://www.zonaprop.com.ar/propiedades/en-venta-dpto-1-dormitorio-balcon-en-call-artigas-52374642.html
52376262;TERRENO;13000;2023-09-21;INMOBILIARIA;720.0;;;;;LOTE VILLA SANTA CRUZ DEL LAGO EXCELENTES VISTAS;SANTA MARIA DE PUNILLA;-31.3757683;-64.5220905;https://www.zonaprop.com.ar/propiedades/lote-villa-santa-cruz-del-lago-excelentes-vistas-52376262.html
52377190;CASA;80000;2023-09-21;PARTICULAR;298.0;276.0;4.0;2.0;1.0;CASA EN VENTA EN COSTANERA DE UNQUILLO APTA BANCOR;UNQUILLO;-31.242776;-64.3041313;https://www.zonaprop.com.ar/propiedades/casa-en-venta-en-costanera-de-unquillo-apta-bancor-52377190.html
52376379;DEPARTAMENTO;39000;2023-09-21;INMOBILIARIA;30.0;30.0;1.0;1.0;;ALBERDI;CORDOBA;-31.406874;-64.200329;https://www.zonaprop.com.ar/propiedades/vendo-departamento-1-dor-barrio-alberdi-con-escritura-52376379.html
52375875;CASA;25500;2023-09-21;INMOBILIARIA;97.0;93.0;2.0;1.0;;CASA A REFACCIONAR 2 DORM. - ALTO GRAL PAZ;CORDOBA;-31.406059667702;-64.154842368462;https://www.zonaprop.com.ar/propiedades/casa-a-refaccionar-2-dorm.-alto-gral-paz-52375875.html
52384906;TERRENO;7900;2023-09-21;INMOBILIARIA;717.0;;;;;TERRENO EN VENTA EN EL BALCON DE PUNILLA, VILLA GIARDINO;VILLA GIARDINO;-31.0402588272;-64.4876066135;https://www.zonaprop.com.ar/propiedades/terreno-en-venta-en-el-balcon-de-punilla-villa-52384906.html
52379181;DEPARTAMENTO;49000;2023-09-21;INMOBILIARIA;83.0;83.0;2.0;1.0;;CENTRO;CORDOBA;-31.4129805;-64.1828769;https://www.zonaprop.com.ar/propiedades/remodelado-y-amplio-dpto-2-dorm-a-cdas-plaza-san-52379181.html
52379630;TERRENO;200000;2023-09-21;INMOBILIARIA;803.0;;;;;SAN MARTIN;CORDOBA;-31.3960497;-64.1996554999999;https://www.zonaprop.com.ar/propiedades/terreno-a-m-av-castro-barros-zona-c-3-b-san-52379630.html
52372368;DEPARTAMENTO;100000;2023-09-21;INMOBILIARIA;125.0;99.0;2.0;2.0;;MANANTIALES;CORDOBA;-31.4794728;-64.2668673;https://www.zonaprop.com.ar/propiedades/colinas-de-manantiales-duplex-en-venta-con-pileta-52372368.html
52371373;CASA;75000;2023-09-21;PARTICULAR;125.0;125.0;3.0;2.0;;CASA CENTRICA 3 HABITACIONES;RIO CUARTO;-33.1284356;-64.3553099;https://www.zonaprop.com.ar/propiedades/casa-centrica-3-habitaciones-52371373.html
52374870;DEPARTAMENTO;150000;2023-09-21;INMOBILIARIA;109.0;93.0;2.0;2.0;2.0;JARDIN ESPINOSA;CORDOBA;-31.4545885;-64.1677413;https://www.zonaprop.com.ar/propiedades/departamento-en-venta-terrazas-de-o-higgins-2-dor-2-52374870.html
52372646;DEPARTAMENTO;179000;2023-09-21;INMOBILIARIA;180.0;188.0;3.0;3.0;2.0;GREENVILLE II;CORDOBA;-31.484262;-64.1692144;https://www.zonaprop.com.ar/propiedades/greenville-ii-hermoso-duplex-a-estrenar-a-la-venta-3-52372646.html
52380077;DEPARTAMENTO;89000;2023-09-21;INMOBILIARIA;78.0;55.0;1.0;1.0;;GENERAL PAZ;CORDOBA;-31.413162;-64.17005;https://www.zonaprop.com.ar/propiedades/departamento-en-general-paz-52380077.html
52375633;DEPARTAMENTO;75000;2023-09-21;INMOBILIARIA;65.0;;2.0;2.0;;GENERAL PAZ;CORDOBA;-31.4117919;-64.1625737;https://www.zonaprop.com.ar/propiedades/departamento-en-venta-b-general-paz-52375633.html
52372374;DEPARTAMENTO;65000;2023-09-21;INMOBILIARIA;80.0;67.0;3.0;2.0;;PROVIDENCIA;CORDOBA;-31.4046331502;-64.1951318062;https://www.zonaprop.com.ar/propiedades/dpto.-3-dorm.-2-banos-complejo-santo-domingo-52372374.html
