nombre,descripcion,Latitud,Longitud
2007 - 20 de Junio (Parada),AV. SANTA ANA 6529  Entorno: 15 mts. Curso:902007,-31.411546,-64.267813
2031 - 20 de Junio (Parada),LUZ VIEYRA MENDEZ  499  Entorno: 10 mts.2031,-31.404521,-64.264976
2516 - 25 de Mayo (Parada),Cumbres de Gaspar 9999. Cumbres de Gaspar 9999. Entorno: 15 mts. Curso:902516,-31.489918,-64.079258
2524 - 25 de Mayo (Parada),Quintas de Ferrreira 6  Entorno: 20 mts. Curso:1802524,-31.492046,-64.067655
2507 - 25 de Mayo (Parada Terminal),Cumbres de Gaspar 280mt plaza Cumbres de Gaspar 280mt plaza Entorno: 15 mts. Curso:962507,-31.489891,-64.085618
2520 - 25 de Mayo (Parada),Quintas de Ferrreira 2  Entorno: 20 mts. Curso:02520,-31.488205,-64.067665
2517 - 25 de Mayo (Parada),Cumbres de Gaspar 9999.. Cumbres de Gaspar 9999.. Entorno: 10 mts. Curso:902517,-31.489905,-64.081781
2522 - 25 de Mayo (Parada),Quintas de Ferrreira 4  Entorno: 15 mts. Curso:2182522,-31.483953,-64.067703
2518 - 25 de Mayo (Parada),Cumbres de Gaspar 9999… Cumbres de Gaspar 9999… Entorno: 15 mts. Curso:922518,-31.489896,-64.08392
2511 - 25 de Mayo (Parada),Cumbres de Gaspar 9999.. Cumbres de Gaspar 9999.. Entorno: 10 mts. Curso:2702511,-31.489905,-64.081808
2521 - 25 de Mayo (Parada),Quintas de Ferrreira 3  Entorno: 10 mts. Curso:1942521,-31.48425,-64.067665
2512 - 25 de Mayo (Parada),Cumbres de Gaspar 9999… Cumbres de Gaspar 9999… Entorno: 15 mts. Curso:2702512,-31.489896,-64.083958
2519 - 25 de Mayo (Parada),Quintas de Ferrreira 1  Entorno: 20 mts. Curso:02519,-31.491444,-64.067626
2513 - 25 de Mayo (Parada),"Ruta 9 Sur 9999,, Ruta 9 Sur 9999,, Entorno: 15 mts. Curso:3442513",-31.494055,-64.072853
2510 - 25 de Mayo (Parada),Cumbres de Gaspar 9999. Cumbres de Gaspar 9999. Entorno: 15 mts. Curso:2702510,-31.489916,-64.079285
2515 - 25 de Mayo (Parada),Cumbres de Gaspar 280mt plaza Cumbres de Gaspar 280mt plaza Entorno: 15 mts. Curso:2242515,-31.489893,-64.085683
2509 - 25 de Mayo (Parada Terminal),R9 pas. P. NIVEL B. 25 DE MAYO R9 pas. P. NIVEL B. 25 DE MAYO Entorno: 15 mts. Curso:1402509,-31.490888,-64.07663
2523 - 25 de Mayo (Parada),Quintas de Ferrreira 5  Entorno: 20 mts. Curso:1802523,-31.489065,-64.067678
2514 - 25 de Mayo (Parada),"Ruta 9 Sur 9999,,,, Ruta 9 Sur 9999,,,, Entorno: 20 mts. Curso:3182514",-31.488576,-64.078671
2506 - 25 de Mayo (Parada Terminal),Cumbres de Gaspar 300mt plaza Cumbres de Gaspar 300mt plaza Entorno: 15 mts. Curso:2722506,-31.48984,-64.086208
2508 - 25 de Mayo (Parada Terminal),Trasporte Rigars Trasporte Rigars Entorno: 15 mts. Curso:422508,-31.49901,-64.067471
9J01 - 9 de Julio (Parada),Donato Alvarez 8253  Entorno: 15 mts. Curso:1469J01,-31.327163,-64.267018
VF17 - A Velez Sarsf (Parada Terminal),Cacheuta 3280  Entorno: 15 mts. Curso:194VF17\n LINEA 31: 190\n LINEA 32: 192\n LINEA 35: 192,-31.446171,-64.2115
VF13 - A Velez Sarsf (Parada Terminal),Cacheuta 3297  Entorno: 15 mts. Curso:12VF13\n LINEA 31: 12\n LINEA 32: 14\n LINEA 35: 14,-31.446121,-64.21116
VF20 - A Velez Sarsf (Parada),Cacheuta 3645  Entorno: 15 mts. Curso:14VF20\n LINEA 32: 14\n LINEA 35: 14,-31.449754,-64.212215
VF22 - A Velez Sarsf (Parada Terminal),PASO NIVEL CACHEUTA  Entorno: 20 mts.VF22,-31.445631,-64.211191
VF11 - A Velez Sarsf (Parada),Horacio Martinez 3465  Entorno: 10 mts. Curso:14VF11,-31.44731,-64.213855
VF23 - A Velez Sarsf (Parada),Horacio Martinez 3465  Entorno: 10 mts. Curso:332VF23\n LINEA 35: 330,-31.447236,-64.213836
VF05 - A Velez Sarsf (Parada),Virgilio Moyano 1207  Entorno: 10 mts. Curso:102VF05,-31.447711,-64.214195
VF16 - A Velez Sarsf (Parada),Cacheuta 3492  Entorno: 15 mts. Curso:194VF16\n LINEA 32: 194\n LINEA 35: 194,-31.447821,-64.211981
VF21 - A Velez Sarsf (Parada),Cacheuta 3469  Entorno: 10 mts.VF21,-31.446946,-64.211371
VF12 - A Velez Sarsf (Parada),Novillo Martinez 1300  Entorno: 10 mts. Curso:284VF12,-31.446878,-64.215528
VF03 - A Velez Sarsf (Parada Terminal),H Martinez Antes de Tafi H Martinez Antes de Tafi Entorno: 15 mts. Curso:194VF03,-31.450899,-64.214843
VF08 - A Velez Sarsf (Parada),Tafi 1100  Entorno: 10 mts. Curso:292VF08,-31.451376,-64.213236
VF24 - A Velez Sarsf (Parada),Huiliches 1109-1126  Entorno: 15 mts. Curso:282VF24,-31.456063,-64.21455
VF06 - A Velez Sarsf (Parada),Horacio Martinez 3594  Entorno: 10 mts. Curso:14VF06,-31.448408,-64.214161
VF15 - A Velez Sarsf (Parada),Cacheuta 3644  Entorno: 15 mts. Curso:194VF15\n LINEA 32: 194\n LINEA 35: 194,-31.449508,-64.212471
VF04 - A Velez Sarsf (Parada Terminal),H Martinez Antes Moreno H Martinez Antes Moreno Entorno: 15 mts. Curso:12VF04,-31.450545,-64.214731
VF07 - A Velez Sarsf (Parada),Horacio Martinez 3693  Entorno: 10 mts. Curso:12VF07,-31.44971,-64.214516
VF09 - A Velez Sarsf (Parada),Huiliches 1196  Entorno: 15 mts. Curso:104VF09,-31.455728,-64.216203
VF14 - A Velez Sarsf (Parada),Cacheuta 3770  Entorno: 15 mts. Curso:194VF14\n LINEA 32: 194\n LINEA 35: 194,-31.451196,-64.212966
VF01 - A Velez Sarsf (Parada Terminal),Cacheuta 3914 Cacheuta 3914 Entorno: 15 mts. Curso:194VF01\n LINEA 32: 194\n LINEA 35: 194,-31.452926,-64.213471
VF19 - A Velez Sarsf (Parada),Huilches 1290  Entorno: 15 mts. Curso:284VF19\n LINEA 31: 284,-31.45538,-64.217866
VF10 - A Velez Sarsf (Parada),Huiliches 1274-1281  Entorno: 15 mts. Curso:104VF10\n LINEA 31: 104,-31.455483,-64.217406
VF18 - A Velez Sarsf (Parada),Huiliches 1109-1126  Entorno: 15 mts. Curso:102VF18\n LINEA 31: 100\n LINEA 31: 282,-31.45605,-64.21462
VF02 - A Velez Sarsf (Parada),Cacheuta 4072 Cacheuta 4072 Entorno: 15 mts. Curso:194VF02\n LINEA 32: 192,-31.455791,-64.214276
